boris_id,dive.id,Species,Boccia.ID,Site,submersion.type,Submersion.naturally.terminated.,Mass,SVL,Sex,Rebreathing.type
ANOX101,1,oxylophus,ANOX1,La_Selva,dunk,yes,6.2,68,M,sustained
ANOX102,1,oxylophus,ANOX1,La_Selva,dunk,yes,6.2,68,M,incidental
ANOX102_2,2,oxylophus,ANOX1,La_Selva,dunk,yes,6.2,68,M,incidental
ANOX103,1,oxylophus,ANOX1,La_Selva,dunk,yes,6.2,68,M,sustained
ANOX104,1,oxylophus,ANOX1,La_Selva,dunk,yes,6.2,68,M,sustained
ANOX104_2,2,oxylophus,ANOX1,La_Selva,dunk,yes,6.2,68,M,sustained
ANOX105,1,oxylophus,ANOX1,La_Selva,dunk,yes,6.2,68,M,sustained
ANOX105_2,2,oxylophus,ANOX1,La_Selva,dunk,yes,6.2,68,M,sustained
ANOX106,1,oxylophus,ANOX1,La_Selva,dunk,yes,6.2,68,M,sustained
ANOX106_2,2,oxylophus,ANOX1,La_Selva,dunk,yes,6.2,68,M,sustained
ANOX106_3,3,oxylophus,ANOX1,La_Selva,dunk,yes,6.2,68,M,sustained
ANOX201,1,oxylophus,ANOX2,La_Selva,dunk,yes,4.3,59,F,sustained
ANOX202,1,oxylophus,ANOX2,La_Selva,dunk,no,4.3,59,F,incidental
ANOX203,1,oxylophus,ANOX2,La_Selva,dunk,yes,4.3,59,F,sustained
ANOX204,1,oxylophus,ANOX2,La_Selva,dunk,yes,4.3,59,F,sustained
ANOX204_2,2,oxylophus,ANOX2,La_Selva,dunk,yes,4.3,59,F,incidental
ANOX205,1,oxylophus,ANOX2,La_Selva,dunk,yes,4.3,59,F,sustained
ANOX205_2,1,oxylophus,ANOX2,La_Selva,dunk,yes,4.3,59,F,sustained
ANOX206,1,oxylophus,ANOX2,La_Selva,dunk,yes,4.3,59,F,sustained
ANOX206_2,1,oxylophus,ANOX2,La_Selva,dunk,yes,4.3,59,F,incidental
ANOX206_3,1,oxylophus,ANOX2,La_Selva,dunk,yes,4.3,59,F,no
ANOX206_4,1,oxylophus,ANOX2,La_Selva,dunk,yes,4.3,59,F,incidental
ANOX301,1,oxylophus,ANOX3,La_Selva,dunk,yes,3.5,56,F,sustained
ANOX302,1,oxylophus,ANOX3,La_Selva,dunk,yes,3.5,56,F,sustained
ANOX303,1,oxylophus,ANOX3,La_Selva,dunk,yes,3.5,56,F,sustained
ANOX304,1,oxylophus,ANOX3,La_Selva,dunk,yes,3.5,56,F,sustained
