Observation id,ANOX104,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,ANOX104.MOV,,,,,,,
,,,,,,,,
Observation date,2019-10-19 16:34:46,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
261.585,ANOX104.MOV,590.750,60.0,ANOX1,start of trial,,,POINT
262.585,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
264.585,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
264.586,ANOX104.MOV,590.750,60.0,ANOX1,bubble release,,,POINT
264.588,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
265.085,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
265.086,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,soh,POINT
266.085,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
281.583,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
281.584,ANOX104.MOV,590.750,60.0,ANOX1,bubble release,,,POINT
281.584,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
282.084,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
282.085,ANOX104.MOV,590.750,60.0,ANOX1,bubble release,,,POINT
282.088,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
284.083,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
284.084,ANOX104.MOV,590.750,60.0,ANOX1,bubble release,,,POINT
284.835,ANOX104.MOV,590.750,60.0,ANOX1,bubble release,,,POINT
286.086,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
291.084,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
291.085,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,soh,POINT
292.336,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
295.084,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
295.085,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,soh,POINT
297.088,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
297.838,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
297.839,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,soh,POINT
298.088,ANOX104.MOV,590.750,60.0,ANOX1,gular pump,,,POINT
298.341,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
304.591,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
304.592,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,soh,POINT
305.086,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
305.086,ANOX104.MOV,590.750,60.0,ANOX1,gular pump,,,POINT
305.347,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
305.348,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,soh,POINT
305.836,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
311.586,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
311.587,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,soh,POINT
311.835,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
319.332,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
319.333,ANOX104.MOV,590.750,60.0,ANOX1,gular pump,,,POINT
319.333,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,soh,POINT
319.400,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
323.085,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
323.086,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,soh,POINT
323.335,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
324.585,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,lbn,POINT
328.834,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,soh,STOP
328.835,ANOX104.MOV,590.750,60.0,ANOX1,gular pump,,,POINT
328.835,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,soh,POINT
329.334,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
336.085,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
336.086,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,soh,POINT
336.338,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
337.585,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
337.586,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,soh,POINT
341.835,ANOX104.MOV,590.750,60.0,ANOX1,gular pump,,,POINT
341.835,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,soh,POINT
342.336,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,START
343.335,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,lbn,POINT
346.085,ANOX104.MOV,590.750,60.0,ANOX1,reinhale,,lbn,POINT
350.834,ANOX104.MOV,590.750,60.0,ANOX1,exhale,,,STOP
