Observation id,BILS AHM 03 b2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,BILS AHM 03 b2.MP4,,,,,,,
,,,,,,,,
Observation date,2019-10-10 19:30:53,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
12.352,BILS AHM 03 b2.MP4,21.020,29.97,BILS AHM 03,start of trial,,,POINT
14.330,BILS AHM 03 b2.MP4,21.020,29.97,BILS AHM 03,exhale,,,START
15.333,BILS AHM 03 b2.MP4,21.020,29.97,BILS AHM 03,gular pump,,,POINT
16.584,BILS AHM 03 b2.MP4,21.020,29.97,BILS AHM 03,gular pump,,,POINT
18.585,BILS AHM 03 b2.MP4,21.020,29.97,BILS AHM 03,end of trial,,,POINT
18.585,BILS AHM 03 b2.MP4,21.020,29.97,BILS AHM 03,exhale,,,STOP
