Observation id,BILS AMR 02 b2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,BILS AMR 02 b2.MP4,,,,,,,
,,,,,,,,
Observation date,2019-10-10 20:16:54,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
8.609,BILS AMR 02 b2.MP4,23.520,29.97,BILS AMR 02,start of trial,,,POINT
9.083,BILS AMR 02 b2.MP4,23.520,29.97,BILS AMR 02,bubble release,,,POINT
9.581,BILS AMR 02 b2.MP4,23.520,29.97,BILS AMR 02,bubble release,,,POINT
11.834,BILS AMR 02 b2.MP4,23.520,29.97,BILS AMR 02,exhale,,,START
12.586,BILS AMR 02 b2.MP4,23.520,29.97,BILS AMR 02,bubble release,,,POINT
13.582,BILS AMR 02 b2.MP4,23.520,29.97,BILS AMR 02,bubble release,,,POINT
15.582,BILS AMR 02 b2.MP4,23.520,29.97,BILS AMR 02,exhale,,,STOP
15.583,BILS AMR 02 b2.MP4,23.520,29.97,BILS AMR 02,bubble release,,,POINT
19.861,BILS AMR 02 b2.MP4,23.520,29.97,BILS AMR 02,end of trial,,,POINT
