Observation id,BILS KT 01,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,BILS KT 01.MP4,,,,,,,
,,,,,,,,
Observation date,2019-10-10 15:14:31,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
9.076,BILS KT 01.MP4,35.040,29.97,BILS KT 01,start of trial,,,POINT
10.326,BILS KT 01.MP4,35.040,29.97,BILS KT 01,bubble release,,,POINT
11.077,BILS KT 01.MP4,35.040,29.97,BILS KT 01,bubble release,,,POINT
12.577,BILS KT 01.MP4,35.040,29.97,BILS KT 01,end of trial,,,POINT
