Observation id,BILS KT 01_2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,BILS KT 01.MP4,,,,,,,
,,,,,,,,
Observation date,2019-10-10 15:23:32,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
22.355,BILS KT 01.MP4,35.040,29.97,BILS KT 01,start of trial,,,POINT
32.357,BILS KT 01.MP4,35.040,29.97,BILS KT 01,end of trial,,,POINT
