Observation id,Boccia 222 dunk,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,D:/Colombia rebreathing videos/Boccia222 dunk.MP4,,,,,,,
,,,,,,,,
Observation date,2019-01-23 14:02:30,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
21.635,D:/Colombia rebreathing videos/Boccia222 dunk.MP4,166.830,23.98,Boccia 222,start of trial,,,POINT
39.158,D:/Colombia rebreathing videos/Boccia222 dunk.MP4,166.830,23.98,Boccia 222,chest,,,POINT
39.158,D:/Colombia rebreathing videos/Boccia222 dunk.MP4,166.830,23.98,Boccia 222,gular pump,,,POINT
44.655,D:/Colombia rebreathing videos/Boccia222 dunk.MP4,166.830,23.98,Boccia 222,end of trial,,,POINT
