Observation id,Boccia234 dunk,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,E:/Colombia rebreathing videos/Boccia234 dunk.MP4,,,,,,,
,,,,,,,,
Observation date,2019-02-06 20:14:00,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0.022,E:/Colombia rebreathing videos/Boccia234 dunk.MP4,22.400,23.98,Boccia 234,start of trial,,,POINT
11.101,E:/Colombia rebreathing videos/Boccia234 dunk.MP4,22.400,23.98,Boccia 234,end of trial,,,POINT
