Observation id,Boccia258M dunk,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,Boccia258 dunk.MP4,,,,,,,
,,,,,,,,
Observation date,2019-04-08 20:16:41,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
9.091,Boccia258 dunk.MP4,182.970,23.98,Boccia 258M,start of trial,,,POINT
9.842,Boccia258 dunk.MP4,182.970,23.98,Boccia 258M,exhale,,,START
75.617,Boccia258 dunk.MP4,182.970,23.98,Boccia 258M,end of trial,,,POINT
75.617,Boccia258 dunk.MP4,182.970,23.98,Boccia 258M,exhale,,,STOP
