Observation id,Boccia272M dunk,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,Boccia272 dunk.MP4,,,,,,,
,,,,,,,,
Observation date,2019-04-16 15:24:28,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
35.488,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,chest out of view,,,START
35.488,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
35.488,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,start of trial,,,POINT
37.990,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
39.782,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
39.783,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
43.827,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
43.828,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,bubble release,,,POINT
45.246,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
45.663,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,bubble release,,,POINT
46.831,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
48.415,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
48.582,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
49.332,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
49.333,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
51.543,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
51.626,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
52.626,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
52.627,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
54.003,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
57.422,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
57.423,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
58.590,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
58.590,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
60.842,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
62.093,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
65.513,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
67.598,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
67.680,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
67.681,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,bubble release,,,POINT
72.227,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
72.227,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
72.893,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
72.894,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
76.355,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
76.439,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
77.272,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
77.273,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
80.192,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
80.275,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
80.608,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
80.609,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,bubble release,,,POINT
84.987,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
84.987,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
85.404,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
85.405,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
93.244,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
93.411,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
93.827,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
93.828,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,reinhale,,soh,POINT
96.956,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,START
96.956,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,gular pump,,,POINT
97.288,Boccia272 dunk.MP4,305.760,23.98,Boccia 272M,exhale,,,STOP
