Observation id,Boccia273 hide,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,Boccia273 hide.MP4,,,,,,,
,,,,,,,,
Observation date,2019-03-05 23:21:19,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
539.645,Boccia273 hide.MP4,820.110,23.98,Boccia 273,chest out of view,,,START
539.645,Boccia273 hide.MP4,820.110,23.98,Boccia 273,head out of view,,,START
539.645,Boccia273 hide.MP4,820.110,23.98,Boccia 273,start of trial,,,POINT
539.645,Boccia273 hide.MP4,820.110,23.98,Boccia 273,throat out of view,,,START
546.643,Boccia273 hide.MP4,820.110,23.98,Boccia 273,head out of view,,,STOP
813.891,Boccia273 hide.MP4,820.110,23.98,Boccia 273,chest out of view,,,STOP
813.891,Boccia273 hide.MP4,820.110,23.98,Boccia 273,end of trial,,,POINT
813.891,Boccia273 hide.MP4,820.110,23.98,Boccia 273,throat out of view,,,STOP
