Observation id,Boccia293 (2),,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,Boccia293 (2).MP4,,,,,,,
,,,,,,,,
Observation date,2019-03-06 12:57:54,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
24.729,Boccia293 (2).MP4,35.160,23.98,Boccia 293,start of trial,,,POINT
28.883,Boccia293 (2).MP4,35.160,23.98,Boccia 293,end of trial,,,POINT
