Observation id,HOLY HM1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,E:/ADDITIONAL VIDEOS/3-BBVA_PO_VIDEOS/holy hm1.MOV,,,,,,,
,,,,,,,,
Observation date,2020-03-02 14:07:12,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
22.144,E:/ADDITIONAL VIDEOS/3-BBVA_PO_VIDEOS/holy hm1.MOV,84.050,29.97,HOLY HM 01,chest out of view,,,START
22.144,E:/ADDITIONAL VIDEOS/3-BBVA_PO_VIDEOS/holy hm1.MOV,84.050,29.97,HOLY HM 01,start of trial,,,POINT
22.144,E:/ADDITIONAL VIDEOS/3-BBVA_PO_VIDEOS/holy hm1.MOV,84.050,29.97,HOLY HM 01,throat out of view,,,START
30.172,E:/ADDITIONAL VIDEOS/3-BBVA_PO_VIDEOS/holy hm1.MOV,84.050,29.97,HOLY HM 01,chest out of view,,,STOP
31.633,E:/ADDITIONAL VIDEOS/3-BBVA_PO_VIDEOS/holy hm1.MOV,84.050,29.97,HOLY HM 01,exhale,,,START
32.636,E:/ADDITIONAL VIDEOS/3-BBVA_PO_VIDEOS/holy hm1.MOV,84.050,29.97,HOLY HM 01,throat out of view,,,STOP
80.178,E:/ADDITIONAL VIDEOS/3-BBVA_PO_VIDEOS/holy hm1.MOV,84.050,29.97,HOLY HM 01,end of trial,,,POINT
80.178,E:/ADDITIONAL VIDEOS/3-BBVA_PO_VIDEOS/holy hm1.MOV,84.050,29.97,HOLY HM 01,exhale,,,STOP
