Observation id,Holy LOF 1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY LOF 1.MP4,,,,,,,
,,,,,,,,
Observation date,2019-09-15 01:55:59,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
37.136,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY LOF 1.MP4,228.440,23.98,Holy LOF 1,start of trial,,,POINT
48.892,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY LOF 1.MP4,228.440,23.98,Holy LOF 1,chest,,,POINT
48.892,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY LOF 1.MP4,228.440,23.98,Holy LOF 1,gular pump,,,POINT
58.658,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY LOF 1.MP4,228.440,23.98,Holy LOF 1,chest,,,POINT
58.658,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY LOF 1.MP4,228.440,23.98,Holy LOF 1,gular pump,,,POINT
68.909,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY LOF 1.MP4,228.440,23.98,Holy LOF 1,chest,,,POINT
68.909,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY LOF 1.MP4,228.440,23.98,Holy LOF 1,gular pump,,,POINT
73.423,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY LOF 1.MP4,228.440,23.98,Holy LOF 1,end of trial,,,POINT
