Observation id,Holy LOF 1_2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY LOF 1.MP4,,,,,,,
,,,,,,,,
Observation date,2019-09-15 17:37:37,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
102.696,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY LOF 1.MP4,228.440,23.98,Holy LOF 1,start of trial,,,POINT
135.947,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY LOF 1.MP4,228.440,23.98,Holy LOF 1,chest,,,POINT
135.947,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY LOF 1.MP4,228.440,23.98,Holy LOF 1,gular pump,,,POINT
148.916,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY LOF 1.MP4,228.440,23.98,Holy LOF 1,gular pump,,,POINT
158.007,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY LOF 1.MP4,228.440,23.98,Holy LOF 1,end of trial,,,POINT
