Observation id,LARE LOF 10,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,E:/Jamaica diving videos/DCIM/100GOPRO/LARE LOF 10.MP4,,,,,,,
,,,,,,,,
Observation date,2019-09-18 15:00:30,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
18.854,E:/Jamaica diving videos/DCIM/100GOPRO/LARE LOF 10.MP4,212.340,23.98,LARE LOF 10,start of trial,,,POINT
122.102,E:/Jamaica diving videos/DCIM/100GOPRO/LARE LOF 10.MP4,212.340,23.98,LARE LOF 10,end of trial,,,POINT
