Observation id,MILP AMR 01_3,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,E:/2019 Ecuador Videos/Submersion Trials/2019-05-24/Batch 2/MILP AMR 01_3.MP4,,,,,,,
,,,,,,,,
Observation date,2019-09-28 17:00:01,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
12.730,E:/2019 Ecuador Videos/Submersion Trials/2019-05-24/Batch 2/MILP AMR 01_3.MP4,42.040,119.88,MILP AMR 01,start of trial,,,POINT
38.239,E:/2019 Ecuador Videos/Submersion Trials/2019-05-24/Batch 2/MILP AMR 01_3.MP4,42.040,119.88,MILP AMR 01,end of trial,,,POINT
