Observation id,MILP DLM 01_2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,E:/2019 Ecuador Videos/Submersion Trials/2019-05-24/Batch 2/MILP DLM 01_2.MP4,,,,,,,
,,,,,,,,
Observation date,2019-09-28 20:23:24,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
8.228,E:/2019 Ecuador Videos/Submersion Trials/2019-05-24/Batch 2/MILP DLM 01_2.MP4,139.640,119.88,MILP DLM 01,start of trial,,,POINT
19.729,E:/2019 Ecuador Videos/Submersion Trials/2019-05-24/Batch 2/MILP DLM 01_2.MP4,139.640,119.88,MILP DLM 01,exhale,,,START
135.520,E:/2019 Ecuador Videos/Submersion Trials/2019-05-24/Batch 2/MILP DLM 01_2.MP4,139.640,119.88,MILP DLM 01,end of trial,,,POINT
135.520,E:/2019 Ecuador Videos/Submersion Trials/2019-05-24/Batch 2/MILP DLM 01_2.MP4,139.640,119.88,MILP DLM 01,exhale,,,STOP
