Observation id,MILP DLM 03 b2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,MILP DLM 03 b2.MP4,,,,,,,
,,,,,,,,
Observation date,2019-09-30 23:17:49,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
21.075,MILP DLM 03 b2.MP4,30.530,29.97,MILP DLM 03,start of trial,,,POINT
26.593,MILP DLM 03 b2.MP4,30.530,29.97,MILP DLM 03,gular pump,,,POINT
26.594,MILP DLM 03 b2.MP4,30.530,29.97,MILP DLM 03,exhale,,,START
27.094,MILP DLM 03 b2.MP4,30.530,29.97,MILP DLM 03,end of trial,,,POINT
27.094,MILP DLM 03 b2.MP4,30.530,29.97,MILP DLM 03,exhale,,,STOP
