Observation id,MILP LOF 02_2 b2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,,,,,,,
,,,,,,,,
Observation date,2019-10-01 08:09:39,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
13.081,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,start of trial,,,POINT
33.085,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,chest,,,POINT
33.085,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,gular pump,,,POINT
43.577,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,exhale,,,START
43.744,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,gular pump,,,POINT
43.777,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,chest,,,POINT
44.010,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,exhale,,,STOP
44.011,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,reinhale,,soh,POINT
53.622,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,chest,,,POINT
53.622,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,gular pump,,,POINT
56.957,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,exhale,,,START
57.256,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,exhale,,,STOP
57.257,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,reinhale,,soh,POINT
65.499,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,exhale,,,START
65.626,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,chest,,,POINT
65.626,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,gular pump,,,POINT
65.998,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,exhale,,,STOP
65.999,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,reinhale,,soh,POINT
68.635,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,gular pump,,,POINT
68.643,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,chest,,,POINT
70.638,C:/Users/Chris/Desktop/boris holder/MILP LOF 2_2 b2.MP4,73.570,29.97,MILP LOF 02,end of trial,,,POINT
