Observation id,MORE AHM 08 b2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,MORE AHM 08 b2.MP4,,,,,,,
,,,,,,,,
Observation date,2019-10-09 16:01:58,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
23.089,MORE AHM 08 b2.MP4,40.540,29.97,MORE AHM 08,start of trial,,,POINT
39.090,MORE AHM 08 b2.MP4,40.540,29.97,MORE AHM 08,end of trial,,,POINT
