Observation id,MORE AMR 01,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,MORE AMR 01.MP4,,,,,,,
,,,,,,,,
Observation date,2019-10-02 19:45:20,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
14.356,MORE AMR 01.MP4,25.030,29.97,MORE AMR 01,start of trial,,,POINT
15.084,MORE AMR 01.MP4,25.030,29.97,MORE AMR 01,exhale,,,START
16.086,MORE AMR 01.MP4,25.030,29.97,MORE AMR 01,exhale,,,STOP
16.087,MORE AMR 01.MP4,25.030,29.97,MORE AMR 01,reinhale,,toh,POINT
17.585,MORE AMR 01.MP4,25.030,29.97,MORE AMR 01,exhale,,,START
21.086,MORE AMR 01.MP4,25.030,29.97,MORE AMR 01,end of trial,,,POINT
21.086,MORE AMR 01.MP4,25.030,29.97,MORE AMR 01,exhale,,,STOP
