Observation id,MORE AMR 01_2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,MORE AMR 01_2.MP4,,,,,,,
,,,,,,,,
Observation date,2019-10-02 19:47:03,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
20.589,MORE AMR 01_2.MP4,82.080,29.97,MORE AMR 01,start of trial,,,POINT
77.592,MORE AMR 01_2.MP4,82.080,29.97,MORE AMR 01,end of trial,,,POINT
