Observation id,MORE DLM 07,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,MORE DLM 07.MP4,,,,,,,
,,,,,,,,
Observation date,2019-10-08 00:52:19,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
23.855,MORE DLM 07.MP4,32.030,29.97,MORE DLM 07,start of trial,,,POINT
24.594,MORE DLM 07.MP4,32.030,29.97,MORE DLM 07,exhale,,,START
28.093,MORE DLM 07.MP4,32.030,29.97,MORE DLM 07,end of trial,,,POINT
28.093,MORE DLM 07.MP4,32.030,29.97,MORE DLM 07,exhale,,,STOP
