Observation id,MORE GY 01,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,MORE GY 01.MP4,,,,,,,
,,,,,,,,
Observation date,2019-10-08 17:32:22,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
15.358,MORE GY 01.MP4,21.520,29.97,MORE GY 01,exhale,,,START
15.358,MORE GY 01.MP4,21.520,29.97,MORE GY 01,start of trial,,,POINT
17.089,MORE GY 01.MP4,21.520,29.97,MORE GY 01,gular pump,,,POINT
19.087,MORE GY 01.MP4,21.520,29.97,MORE GY 01,end of trial,,,POINT
19.087,MORE GY 01.MP4,21.520,29.97,MORE GY 01,exhale,,,STOP
