Observation id,MORE KT 01,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,MORE KT 01.MP4,,,,,,,
,,,,,,,,
Observation date,2019-10-08 17:43:13,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
21.356,MORE KT 01.MP4,46.550,29.97,MORE KT 01,start of trial,,,POINT
24.591,MORE KT 01.MP4,46.550,29.97,MORE KT 01,exhale,,,START
38.595,MORE KT 01.MP4,46.550,29.97,MORE KT 01,chest,,,POINT
38.595,MORE KT 01.MP4,46.550,29.97,MORE KT 01,gular pump,,,POINT
43.343,MORE KT 01.MP4,46.550,29.97,MORE KT 01,gular pump,,,POINT
44.094,MORE KT 01.MP4,46.550,29.97,MORE KT 01,end of trial,,,POINT
44.094,MORE KT 01.MP4,46.550,29.97,MORE KT 01,exhale,,,STOP
