Observation id,Mahler FOWL2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,GOPR0552-fowleri2.MP4,,,,,,,
,,,,,,,,
Observation date,2020-05-05 11:19:08,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
63.663,GOPR0552-fowleri2.MP4,134.720,59.94,Mahler FOWL2,start of trial,,,POINT
63.663,GOPR0552-fowleri2.MP4,134.720,59.94,Mahler FOWL2,throat out of view,,,START
70.917,GOPR0552-fowleri2.MP4,134.720,59.94,Mahler FOWL2,end of trial,,,POINT
70.917,GOPR0552-fowleri2.MP4,134.720,59.94,Mahler FOWL2,throat out of view,,,STOP
