Observation id,Mahler INSO1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,GOPR0554-insolitus.MP4,,,,,,,
,,,,,,,,
Observation date,2020-05-05 11:19:59,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
111.463,GOPR0554-insolitus.MP4,161.060,59.94,Mahler INSO1,start of trial,,,POINT
111.463,GOPR0554-insolitus.MP4,161.060,59.94,Mahler INSO1,throat out of view,,,START
121.713,GOPR0554-insolitus.MP4,161.060,59.94,Mahler INSO1,end of trial,,,POINT
121.713,GOPR0554-insolitus.MP4,161.060,59.94,Mahler INSO1,throat out of view,,,STOP
