Observation id,RGVA SG1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,,,,,,,
,,,,,,,,
Observation date,2020-03-02 14:09:29,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
17.856,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,head out of view,,,START
17.856,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,start of trial,,,POINT
17.856,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,throat out of view,,,START
29.164,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,head out of view,,,STOP
29.164,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,throat out of view,,,STOP
86.188,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,exhale,,,START
86.189,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,exhale,,,STOP
86.189,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,reinhale,,soh,POINT
86.687,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,exhale,,,START
86.688,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,exhale,,,STOP
86.688,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,reinhale,,soh,POINT
106.939,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,chest,,,POINT
106.955,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,exhale,,,START
106.959,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,exhale,,,STOP
106.960,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,reinhale,,soh,POINT
147.266,E:/ADDITIONAL VIDEOS/4-RGVA_SG_VIDEOS/rgva sg1.MOV,150.050,29.97,RGVA SG 01,end of trial,,,POINT
