Observation id,holy dlm 1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY DLM 1.MP4,,,,,,,
,,,,,,,,
Observation date,2019-09-12 18:24:48,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
26.005,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY DLM 1.MP4,178.050,23.98,Holy DLM 1,start of trial,,,POINT
30.134,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY DLM 1.MP4,178.050,23.98,Holy DLM 1,chest,,,POINT
30.885,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY DLM 1.MP4,178.050,23.98,Holy DLM 1,gular pump,,,POINT
110.458,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY DLM 1.MP4,178.050,23.98,Holy DLM 1,chest out of view,,,START
167.710,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY DLM 1.MP4,178.050,23.98,Holy DLM 1,bubble release,,,POINT
170.960,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY DLM 1.MP4,178.050,23.98,Holy DLM 1,chest out of view,,,STOP
171.270,E:/Jamaica diving videos/DCIM/100GOPRO/HOLY DLM 1.MP4,178.050,23.98,Holy DLM 1,end of trial,,,POINT
