"dive.id","Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type","Duration bp","num_all_rb bp","rb_full_rate bp","rb_full_int bp","first_rb bp","last_rb bp","rb_period bp","rate_adj_rb bp","low_rb bp","low_rb_rate bp","num_br bp","rate_br bp","num_gul bp","rate_gul bp","num_ch bp","rate_ch bp","dur_exh_tot bp","exh_pct bp","num_exh bp","exh_avg bp","soh bp","toh bp","hbn bp","lbn bp","num trials"
1,"oxylophus","ANOX1","La_Selva","dunk","yes",6.2,68,"M","sustained",228.781,32,0.139871755084557,7.35377419354839,246.9,474.867,227.967,0.140371194076336,0,0,5,0.021854961731962,10,0.043709923463924,26,0.134699671540032,73.6090000000002,0.321744375625599,34,2.1649705882353,32,0,0,0,11
1,"oxylophus","ANOX2","La_Selva","dunk","yes",4.3,59,"F","sustained",342.76,22,0.0641848523748395,145.32619047619,566.838,559.086,7.75199999999995,2.83797729618165,1,0.00291749328976543,5,0.0145874664488272,27,0.0787723188236667,30,0.087524798692963,87.0259999999998,0.253897771035126,22,3.95572727272726,22,0,0,1,10
1,"oxylophus","ANOX3","La_Selva","dunk","yes",3.5,56,"F","sustained",307.506,19,0.0617874122781344,4.83333333333333,203.586,290.586,87,0.218390804597701,0,0,2,0.00650393813454046,2,0.00650393813454046,21,0.0682913504126749,48.7050000000001,0.158387153421397,20,2.43525,19,0,0,0,6
1,"oxylophus","ANOX4","La_Selva","dunk","yes",3.7,60,"M","incidental",279.255,2,0.00716191294694813,72.252,189.586,261.838,72.252,0.027680894646515,0,0,3,0.0107428694204222,8,0.0286476517877925,0,0,270.252,0.967760648869313,5,54.0504,2,0,0,0,4
1,"oxylophus","ANOX5","La_Selva","dunk","yes",3.6,54,"F","incidental",408.25,1,0.00244947948560931,NA,127.584,NA,NA,NA,1,0.00244947948560931,3,0.00734843845682792,15,0.0367421922841396,5,0.0122473974280465,385.741,0.94486466625842,4,96.43525,1,0,0,1,7
1,"oxylophus","ANOX6","La_Selva","dunk","yes",7.8,68,"M","sustained",140.001,17,0.121427704087828,7.827875,204.588,329.834,125.246,0.135732877696693,0,0,3,0.0214284183684402,3,0.0214284183684402,2,0.0149528238407823,39.1490000000001,0.279633716902023,15,2.60993333333334,11,0,6,0,7
1,"peraccae","BILS AD 02","Ecuador","dunk","yes",1.8,51.4,"M","no",19.252,0,0,NA,NA,NA,NA,NA,0,0,0,0,2,0.103885310617079,0,0,16.25,0.844068148763765,1,16.25,0,0,0,0,1
1,"gracilipes","BILS AHM 02","Ecuador","dunk","yes",2.7,58.68,"M","sustained",26.258,10,0.380836316551146,2.60266666666667,20.687,44.111,23.424,0.426912568306011,0,0,1,0.0380836316551146,0,0,0,0,7.05,0.268489603168558,10,0.705,0,4,6,0,1
1,"gracilipes","BILS AHM 03","Ecuador","dunk","yes",2.4,52.37,"F","incidental",23.247,1,0.0430163031789048,NA,40.357,NA,NA,NA,0,0,0,0,1,0.0430163031789048,0,0,19.763,0.850131199724696,1,19.763,0,1,0,0,1
1,"Echinosaura horrida","BILS AMR 02","Ecuador","dunk","yes",10.6,81.38,"F","incidental",83.826,3,0.0357884188676544,32.66,70.143,37.349,32.794,0.0914801488077087,8,0.0954357836470785,0,0,7,0.112323491655969,0,0,27.756,0.331114451363539,11,2.52327272727273,0,0,3,8,1
1,"peraccae","BILS AMR 03","Ecuador","dunk","yes",1.796,50.26,"M","no",70.032,0,0,NA,NA,NA,NA,NA,0,0,1,0.014279186657528,7,0.0999543066026959,7,0.0999543066026959,68.319,0.975539753255655,1,68.319,0,0,0,0,1
1,"gracilipes","BILS DLM 03","Ecuador","dunk","yes",2.2,52.87,"F","sustained",151.135,31,0.205114632613227,4.0958,41.355,164.229,122.874,0.252290964728095,0,0,2,0.0132332021040791,5,0.0330830052601978,0,0,117.59,0.778046117709333,13,9.04538461538462,0,31,0,0,2
1,"princeps","BILS DLM 04","Ecuador","dunk","yes",26.8,112.82,"F","incidental",418.64,1,0.00238868717752723,NA,340.91,NA,NA,NA,0,0,0,0,0,0,0,0,413.916,0.988715841773361,1,413.916,0,1,0,0,2
1,"lynchi","BILS FA 01","Ecuador","dunk","yes",3.8,58.09,"M","sustained",35.535,15,0.422119037568594,2.25242857142857,19.086,50.62,31.534,0.475677046996892,0,0,3,0.0844238075137189,5,0.140706345856198,10,0.281412691712396,23.957,0.674180385535388,7,3.42242857142857,0,15,0,0,10
1,"gracilipes","BILS FA 04","Ecuador","dunk","yes",3.5,60.87,"F","incidental",43.242,3,0.0693769945885944,0.8415,31.083,32.766,1.683,1.7825311942959,0,0,1,0.0231256648628648,6,0.138753989177189,5,0.115628324314324,19.218,0.444429027334536,4,4.8045,0,3,0,0,1
1,"lynchi","BILS KT 04","Ecuador","dunk","yes",2.958,53.48,"F","sustained",141.904,28,0.197316495659037,4.748,26.592,154.788,128.196,0.218415551187244,0,0,2,0.0140940354042169,2,0.0140940354042169,32,0.225504566467471,89.652,0.631779231029428,9,9.96133333333334,0,28,0,0,5
1,"lynchi","BILS KT 06","Ecuador","dunk","yes",2.345,50.3,"F","sustained",54.548,11,0.20165725599472,3.8534,19.086,57.62,38.534,0.28546218923548,0,0,2,0.0366649556354037,17,0.311652122900931,13,0.238322211630124,37.287,0.683563100388649,2,18.6435,0,11,0,0,11
1,"chloris","BILS MAG 01","Ecuador","dunk","yes",2.939,55.25,"F","sustained",25.261,8,0.316693717588377,3.39442857142857,15.833,39.594,23.761,0.336686166407138,0,0,0,0,0,0,1,0.0395867146985472,24.76,0.980167055936028,2,12.38,0,8,0,0,2
1,"purpurescens","BILS MT 01","Ecuador","dunk","yes",3.5,65.7,"M","sustained",43.266,12,0.277354042435168,2.49527272727273,31.164,58.612,27.448,0.437190323520839,0,0,4,0.0924513474783895,2,0.0462256737391947,0,0,17.204,0.397633245504553,9,1.91155555555556,0,12,0,0,1
1,"maculigula","Boccia 222","Tatama","dunk","yes",26.1,107,"M","sustained",135.684,7,0.0515904601869049,7.18266666666667,43.562,86.658,43.096,0.162428067570076,0,0,8,0.0589605259278913,6,0.0442203944459185,1,0.00737006574098641,2.72199999999998,0.0200613189469649,12,0.226833333333332,0,7,0,0,4
1,"maculigula","Boccia 223","Tatama","dunk","yes",8.6,72,"F","sustained",136.173,15,0.110153995285409,16.3332857142857,133.492,127.996,5.496,2.7292576419214,2,0.0146871993713879,4,0.0293743987427757,9,0.0660923971712454,0,0,28.75,0.211128490963701,18,1.59722222222222,11,4,0,2,3
2,"maculigula","Boccia 224","Tatama","dunk","yes",23.7,110,"M","incidental",56.607,3,0.0529969791721872,10.1065,158.706,178.919,20.213,0.148419334091921,0,0,6,0.105993958344374,4,0.0706626388962496,0,0,33.625,0.594007808221599,6,5.60416666666667,1,2,0,0,2
2,"maculigula","Boccia 225","Tatama","dunk","yes",8.2,66,"F","sustained",41.821,10,0.239114320556658,8.83566666666667,102.201,94.73,7.47099999999999,1.33850890108419,1,0.0239114320556658,0,0,4,0.0956457282226633,0,0,19.869,0.475096243514023,11,1.80627272727272,3,7,0,1,4
2,"maculigula","Boccia 229","Tatama","dunk","yes",7.5,72,"F","incidental",38.463,4,0.10399604815017,7.202,85.635,107.241,21.606,0.185133759140979,0,0,3,0.0779970361126277,0,0,0,0,14.308,0.371993864233159,6,2.38466666666667,2,2,0,0,6
1,"aquaticus","Boccia 121","Las_Cruces","dunk","yes",7.6,69,"M","sustained",187.856,59,0.314070351758794,3.10577586206897,4.203,184.338,180.135,0.327532128681267,0,0,2,0.010646452601993,2,0.010646452601993,0,0,131.221,0.698519078443062,54,2.43001851851852,0,59,0,0,5
1,"aquaticus","Boccia 125","Las_Cruces","dunk","yes",5.1,57,"F","sustained",189.744,22,0.115945695252551,8.27219047619048,3.669,177.385,173.716,0.126643487070851,0,0,4,0.0210810355004638,40,0.210810355004638,11,0.0579728476262754,24.395,0.128567965258453,22,1.10886363636363,0,22,0,0,1
4,"aquaticus","Boccia 134","Las_Cruces","dunk","yes",3.5,53,"F","sustained",85.649,11,0.128431155063106,4.1909,312.809,354.718,41.909,0.262473454389272,0,0,1,0.0116755595511915,11,0.128431155063106,0,0,18.4419999999999,0.215320669243072,12,1.53683333333332,9,2,0,0,5
2,"polylepis","Boccia 137","Las_Cruces","dunk","no",1.4,44,"M","no",94.299,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,0.0106045663262601,0,0,0,0,0,NA,0,0,0,0,2
1,"aquaticus","Boccia 138","Las_Cruces","dunk","yes",5.7,66,"M","sustained",135.09,35,0.259086534902657,3.76132352941176,1.868,129.753,127.885,0.273683387418384,0,0,5,0.0370123621289511,25,0.185061810644755,2,0.0148049448515804,65.344,0.483707158190836,38,1.71957894736842,0,35,0,0,2
1,"aquaticus","Boccia 139","Las_Cruces","dunk","yes",4.4,58,"M","sustained",95.65,14,0.14636696288552,6.71630769230769,18.358,105.67,87.312,0.16034451163643,0,0,4,0.0418191322530058,0,0,0,0,84.297,0.881306847882906,6,14.0495,0,14,0,0,1
1,"aquaticus","Boccia 140","Las_Cruces","dunk","yes",1.7,43,"F","sustained",168.913,37,0.219047675430547,4.41777777777778,6.137,165.177,159.04,0.232645875251509,0,0,2,0.0118404148881377,32,0.189446638210203,34,0.201287053098341,38.056,0.225299414491483,36,1.05711111111111,0,37,0,0,1
1,"aquaticus","Boccia 142","Las_Cruces","dunk","yes",3,52,"F","sustained",195.93,16,0.0944627137956889,9.10826666666667,54.303,190.927,136.624,0.117109731818714,0,0,1,0.00590391961223056,6,0.0354235176733834,0,0,144.484,0.85302192125352,14,10.3202857142857,0,16,0,0,4
2,"aquaticus","Boccia 144","Las_Cruces","dunk","yes",5.4,60,"M","sustained",138.129,10,0.0737131526378252,14.1205555555556,95.197,222.282,127.085,0.0786874926230476,0,0,3,0.0221139457913475,11,0.0810844679016077,0,0,10.131,0.0746787949373806,11,0.920999999999999,0,10,0,0,2
2,"aquaticus","Boccia 147","Las_Cruces","dunk","yes",4.2,51,"M","sustained",180.035,15,0.0833171327797373,7.08571428571428,141.227,240.427,99.2,0.151209677419355,0,0,6,0.0333268531118949,21,0.119387372227086,0,0,106.125,0.589468714416641,11,9.64772727272727,0,15,0,0,4
2,"aquaticus","Boccia 161 ","Las_Cruces","dunk","yes",6.2,65,"M","sustained",128.856,15,0.116409014714099,5.37507142857143,258.572,333.823,75.251,0.199332899230575,0,0,7,0.0543242068665798,6,0.0465636058856398,3,0.0232818029428199,15.7270000000003,0.122050971627245,21,0.748904761904774,0,15,0,0,7
1,"aquaticus","Boccia 166","Las_Cruces","dunk","yes",10.2,74,"M","sustained",240.81,42,0.174411361654416,5.66556097560976,27.352,259.64,232.288,0.180810028929605,0,0,11,0.0456791661475852,38,0.157800755782567,0,0,100.02,0.415348199825589,29,3.44896551724138,0,29,13,0,3
1,"aquaticus","Boccia 167","Las_Cruces","dunk","yes",5.7,64,"M","sustained",185.334,26,0.140287265153722,60.83272,156.037,150.567,5.47,4.75319926873857,1,0.00539566404437394,6,0.0323739842662436,22,0.118704608976227,12,0.0647479685324873,40.4450000000001,0.218227632274705,22,1.8384090909091,0,26,0,1,4
