"VideoID","ID","Start","End","Duration","num_all_rb","rb_full_rate","rb_full_int","first_rb","last_rb","rb_period","rate_adj_rb","low_rb","low_rb_rate","num_br","rate_br","num_gul","rate_gul","num_ch","rate_ch","coov","toov","hoov","dur_exh_tot","exh_pct","num_exh","exh_avg","soh","toh","hbn","lbn","dive.id","Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type"
"ANOX101","ANOX1",246.586,475.367,228.781,32,0.139871755084557,7.35377419354839,246.9,474.867,227.967,0.140371194076336,0,0,5,0.021854961731962,10,0.043709923463924,26,0.134699671540032,35.759,0,0,73.6090000000002,0.321744375625599,34,2.1649705882353,32,0,0,0,1,"oxylophus","ANOX1","La_Selva","dunk","yes",6.2,68,"M","sustained"
"ANOX102","ANOX1",302.589,361.839,59.25,1,0.0168776371308017,NA,318.117,NA,NA,NA,0,0,3,0.0506329113924051,2,0.0337552742616034,3,0.0506329113924051,0,0,0,18.331,0.309383966244725,4,4.58274999999999,1,0,0,0,1,"oxylophus","ANOX1","La_Selva","dunk","yes",6.2,68,"M","incidental"
"ANOX102_2","ANOX1",372.09,404.842,32.752,2,0.0610649731314118,9.50100000000003,391.337,400.838,9.50100000000003,0.210504157457109,0,0,5,0.15266243282853,0,0,0,NA,32.752,0,0,22.663,0.691957743038593,3,7.55433333333334,2,0,0,0,2,"oxylophus","ANOX1","La_Selva","dunk","yes",6.2,68,"M","incidental"
"ANOX103","ANOX1",160.341,304.836,144.495,6,0.0415239281636043,37.5338,170.417,185.086,14.669,0.409025836798691,5,0.0346032734696702,4,0.0276826187757362,13,0.0899685110211426,1,0.0114613180515759,57.245,0,0,52.581,0.363894944461746,14,3.75578571428571,6,0,0,5,1,"oxylophus","ANOX1","La_Selva","dunk","yes",6.2,68,"M","sustained"
"ANOX104","ANOX1",261.585,392.338,130.753,16,0.122368129220744,38.3162,305.348,350.835,45.487,0.351748851320158,7,0.0535360565340757,5,0.0382400403814826,8,0.0611840646103722,0,0,0,0,0,78.0529999999999,0.596949974379172,23,3.39360869565217,16,0,0,7,1,"oxylophus","ANOX1","La_Selva","dunk","yes",6.2,68,"M","sustained"
"ANOX104_2","ANOX1",424.335,580.088,155.753,12,0.0770450649425693,11.7729090909091,438.334,567.836,129.502,0.0926626615805161,0,0,7,0.0449429545498321,8,0.0513633766283796,0,0,0,0,0,42.238,0.271185787753687,14,3.017,12,0,0,0,2,"oxylophus","ANOX1","La_Selva","dunk","yes",6.2,68,"M","sustained"
"ANOX105","ANOX1",182.588,429.086,246.498,12,0.0486819365674366,79.4367272727273,372.087,261.589,110.498,0.10859925066517,10,0.0405682804728639,5,0.0202841402364319,9,0.0365114524255775,3,0.0121704841418592,0,0,0,138.301,0.561063375767755,20,6.91505,12,0,0,10,1,"oxylophus","ANOX1","La_Selva","dunk","yes",6.2,68,"M","sustained"
"ANOX105_2","ANOX1",506.085,713.841,207.756,19,0.0914534357611814,69.3557777777778,646.085,635.089,10.996,1.72790105492907,4,0.0192533548970908,9,0.0433200485184543,11,0.0529467259669997,5,0.0240666936213635,0,0,0,82.4720000000001,0.396965671268219,24,3.43633333333334,19,0,0,4,2,"oxylophus","ANOX1","La_Selva","dunk","yes",6.2,68,"M","sustained"
"ANOX106","ANOX1",223.338,260.087,36.749,7,0.19048137364282,5.04149999999999,228.341,258.59,30.249,0.231412608681279,0,0,2,0.0544232496122344,3,0.0816348744183515,7,0.19048137364282,0,0,0,10.502,0.285776483713843,6,1.75033333333333,7,0,0,0,1,"oxylophus","ANOX1","La_Selva","dunk","yes",6.2,68,"M","sustained"
"ANOX106_2","ANOX1",260.344,390.336,129.992,9,0.0692350298479906,42.248875,337.084,388.085,51.001,0.176467128095528,2,0.0153855621884424,5,0.0384639054711059,14,0.107698935319097,6,0.0461566865653271,0,0,0,25.4909999999999,0.196096682872792,14,1.82078571428571,9,0,0,2,2,"oxylophus","ANOX1","La_Selva","dunk","yes",6.2,68,"M","sustained"
"ANOX106_3","ANOX1",487.085,572.086,85.001,5,0.0588228373783838,12.18775,512.835,561.586,48.751,0.102561998728231,0,0,3,0.0352937024270303,2,0.0235291349513535,5,0.0588228373783838,0,0,0,30.3449999999999,0.35699580004941,5,6.06899999999998,4,0,1,0,3,"oxylophus","ANOX1","La_Selva","dunk","yes",6.2,68,"M","sustained"
"ANOX201","ANOX2",229.584,572.344,342.76,22,0.0641848523748395,145.32619047619,566.838,559.086,7.75199999999995,2.83797729618165,1,0.00291749328976543,5,0.0145874664488272,27,0.0787723188236667,30,0.087524798692963,0,0,0,87.0259999999998,0.253897771035126,22,3.95572727272726,22,0,0,1,1,"oxylophus","ANOX2","La_Selva","dunk","yes",4.3,59,"F","sustained"
"ANOX202","ANOX2",227.087,241.886,14.799,2,0.135144266504493,1.82400000000001,231.783,233.607,1.82400000000001,1.09649122807017,0,0,1,0.0675721332522467,0,0,0,0,0,0,0,1.06900000000002,0.0722346104466529,3,0.356333333333339,2,0,0,0,1,"oxylophus","ANOX2","La_Selva","dunk","no",4.3,59,"F","incidental"
"ANOX203","ANOX2",156.838,444.342,287.504,11,0.0382603372474818,15.4743,174.846,329.589,154.743,0.071085606457158,0,0,7,0.0243474873393066,11,0.0382603372474818,9,0.0313039122933942,0,0,0,111.993,0.389535449941566,10,11.1993,11,0,0,0,1,"oxylophus","ANOX2","La_Selva","dunk","yes",4.3,59,"F","sustained"
"ANOX204","ANOX2",222.089,487.842,265.753,5,0.1075245693641,56.24825,223.097,448.09,224.993,0.0222229136017565,0,0,1,0.0215049138728199,6,0.0225773556648467,0,0,0,0,219.252,71.7649999999999,1.54330014408292,5,14.353,5,0,0,0,1,"oxylophus","ANOX2","La_Selva","dunk","yes",4.3,59,"F","sustained"
"ANOX204_2","ANOX2",567.336,713.09,145.754,2,0.0137217503464742,5.24799999999993,572.086,577.334,5.24799999999993,0.381097560975615,0,0,4,0.0274435006929484,6,0.0411652510394226,1,0.0068608751732371,0,0,0,142.001,0.974251135474841,4,35.50025,2,0,0,0,2,"oxylophus","ANOX2","La_Selva","dunk","yes",4.3,59,"F","incidental"
"ANOX205","ANOX2",225.336,362.835,137.499,6,0.0436366809940436,26.9002,226.335,360.836,134.501,0.0446093337596003,0,0,4,0.0290911206626957,10,0.0727278016567393,8,0.0581822413253915,0,0,0,78.2370000000001,0.569000501821832,10,7.8237,6,0,0,0,1,"oxylophus","ANOX2","La_Selva","dunk","yes",4.3,59,"F","sustained"
"ANOX205_2","ANOX2",406.336,668.099,261.763,6,0.0310047075480961,14.6544,409.817,483.089,73.272,0.0818866688503112,0,0,3,0.015502353774048,6,0.0310047075480961,5,0.0191012480755493,0,68.244,68.244,25.564,0.132100723959921,8,3.1955,6,0,0,0,1,"oxylophus","ANOX2","La_Selva","dunk","yes",4.3,59,"F","sustained"
"ANOX206","ANOX2",181.836,239.835,57.999,7,0.120691736064415,7.12516666666667,187.585,230.336,42.751,0.16373885990971,0,0,2,0.0344833531612614,6,0.103450059483784,5,0.0862083829031535,0,0,0,28.243,0.486956671666753,6,4.70716666666667,7,0,0,0,1,"oxylophus","ANOX2","La_Selva","dunk","yes",4.3,59,"F","sustained"
"ANOX206_2","ANOX2",324.84,367.336,42.496,2,0.0470632530120482,8,331.933,339.933,8,0.25,0,0,4,0.0941265060240963,7,0.164721385542169,6,0.141189759036144,0,0,0,0.895000000000095,0.0210608057228938,6,0.149166666666683,1,0,1,0,1,"oxylophus","ANOX2","La_Selva","dunk","yes",4.3,59,"F","incidental"
"ANOX206_3","ANOX2",369.337,544.087,174.75,0,0,NA,NA,NA,NA,NA,2,0.011444921316166,0,0,2,0.011444921316166,1,0.00572246065808298,0,0,0,0.342999999999961,0.00196280400572224,2,0.17149999999998,0,0,0,2,1,"oxylophus","ANOX2","La_Selva","dunk","yes",4.3,59,"F","no"
"ANOX206_4","ANOX2",589.585,857.839,268.254,1,0.0540540540540541,NA,688.335,NA,NA,NA,0,0,0,0,8,0.0340059425384586,6,0.0223668612583596,0,33.001,249.754,7.50199999999995,0.405513513513511,2,3.75099999999998,1,0,0,0,1,"oxylophus","ANOX2","La_Selva","dunk","yes",4.3,59,"F","incidental"
"ANOX301","ANOX3",163.085,470.591,307.506,19,0.0617874122781344,4.83333333333333,203.586,290.586,87,0.218390804597701,0,0,2,0.00650393813454046,2,0.00650393813454046,21,0.0682913504126749,0,0,0,48.7050000000001,0.158387153421397,20,2.43525,19,0,0,0,1,"oxylophus","ANOX3","La_Selva","dunk","yes",3.5,56,"F","sustained"
"ANOX302","ANOX3",142.336,399.59,257.254,13,0.0505337137614964,16.2918333333333,186.586,382.088,195.502,0.0664954834221645,0,0,6,0.023323252505306,9,0.0349848787579591,6,0.023323252505306,0,0,0,161.493,0.627757002806565,12,13.45775,13,0,0,0,1,"oxylophus","ANOX3","La_Selva","dunk","yes",3.5,56,"F","sustained"
"ANOX303","ANOX3",144.09,495.836,351.746,18,0.0511732898170839,9.63229411764706,154.587,318.336,163.749,0.109924335415789,0,0,2,0.0056859210907871,4,0.0113718421815742,2,0.0056859210907871,0,0,0,235.029,0.668178174023301,18,13.0571666666667,18,0,0,0,1,"oxylophus","ANOX3","La_Selva","dunk","yes",3.5,56,"F","sustained"
"ANOX304","ANOX3",145.585,493.586,348.001,7,0.0201148847273427,90.7505,342.336,331.335,11.001,0.636305790382691,1,0.00287355496104896,2,0.00574710992209793,15,0.0431033244157344,9,0.0325790675870857,71.75,0,0,244.99,0.703992229907385,10,24.499,6,1,0,1,1,"oxylophus","ANOX3","La_Selva","dunk","yes",3.5,56,"F","sustained"
"ANOX305","ANOX3",187.586,407.089,219.503,7,0.0318902247349695,64.0838333333333,292.336,261.835,30.501,0.229500672109111,2,0.00911149278141984,3,0.0136672391721298,11,0.0501132102978091,9,0.0410017175163893,0,0,0,104.488,0.476020828872498,7,14.9268571428571,7,0,0,2,1,"oxylophus","ANOX3","La_Selva","dunk","yes",3.5,56,"F","sustained"
"ANOX306","ANOX3",241.836,432.605,190.769,2,0.0104838836498593,95.748,299.088,394.836,95.748,0.0208881647658437,0,0,2,0.0104838836498593,3,0.0157258254747889,4,0.0209677672997185,0,0,0,136.517,0.715614172113918,4,34.12925,2,0,0,0,1,"oxylophus","ANOX3","La_Selva","dunk","yes",3.5,56,"F","incidental"
"ANOX401","ANOX4",162.586,413.59,251.004,1,0.00398400025497602,NA,163.592,NA,NA,NA,0,0,2,0.00796800050995203,2,0.00796800050995203,0,0,3.99900000000002,0,0,249.997,0.995988111743239,2,124.9985,0,1,0,0,1,"oxylophus","ANOX4","La_Selva","dunk","yes",3.7,60,"M","incidental"
"ANOX402","ANOX4",187.334,466.589,279.255,2,0.00716191294694813,72.252,189.586,261.838,72.252,0.027680894646515,0,0,3,0.0107428694204222,8,0.0286476517877925,0,0,138.002,0,0,270.252,0.967760648869313,5,54.0504,2,0,0,0,1,"oxylophus","ANOX4","La_Selva","dunk","yes",3.7,60,"M","incidental"
"ANOX403","ANOX4",164.087,342.335,178.248,1,0.00561016112382748,NA,192.588,NA,NA,NA,3,0.0168304833714824,0,0,2,0.011220322247655,0,0,0,0,0,149.28,0.837484852564966,2,74.64,1,0,0,3,1,"oxylophus","ANOX4","La_Selva","dunk","yes",3.7,60,"M","incidental"
"ANOX404","ANOX4",201.84,347.088,145.248,2,0.0137695527649262,106.257,234.337,340.594,106.257,0.0188222893550543,0,0,2,0.0137695527649262,0,0,0,0,0,0,0,26.757,0.184215961665565,5,5.35140000000001,2,0,0,0,1,"oxylophus","ANOX4","La_Selva","dunk","yes",3.7,60,"M","incidental"
"ANOX501","ANOX5",144.091,195.598,51.507,0,0,NA,NA,NA,NA,NA,0,0,2,0.0388296736365931,7,0.135903857728076,0,0,0,0,0,46.003,0.893140738152096,2,23.0015,0,0,0,0,1,"oxylophus","ANOX5","La_Selva","dunk","yes",3.6,54,"F","no"
"ANOX501_2","ANOX5",243.837,397.839,154.002,1,0.00649342216334853,NA,391.836,NA,NA,NA,0,0,1,0.00649342216334853,2,0.0129868443266971,1,0.00766265909595948,23.499,0,0,104.25,0.676939260529084,2,52.125,1,0,0,0,1,"oxylophus","ANOX5","La_Selva","dunk","yes",3.6,54,"F","incidental"
"ANOX502","ANOX5",125.088,359.586,234.498,1,0.0042644286944878,NA,131.837,NA,NA,NA,0,0,3,0.0127932860834634,6,0.0255865721669268,2,0.00909099173628851,14.5,0,0,219.749,0.937103941184999,1,219.749,1,0,0,0,1,"oxylophus","ANOX5","La_Selva","dunk","yes",3.6,54,"F","incidental"
"ANOX503","ANOX5",123.086,531.336,408.25,1,0.00244947948560931,NA,127.584,NA,NA,NA,1,0.00244947948560931,3,0.00734843845682792,15,0.0367421922841396,5,0.0122473974280465,0,0,0,385.741,0.94486466625842,4,96.43525,1,0,0,1,1,"oxylophus","ANOX5","La_Selva","dunk","yes",3.6,54,"F","incidental"
