"Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type","Duration mean","num_all_rb mean","rb_full_rate mean","rb_full_int mean","first_rb mean","last_rb mean","rb_period mean","rate_adj_rb mean","low_rb mean","low_rb_rate mean","num_br mean","rate_br mean","num_gul mean","rate_gul mean","num_ch mean","rate_ch mean","dur_exh_tot mean","exh_pct mean","num_exh mean","exh_avg mean","soh mean","toh mean","hbn mean","lbn mean","num trials"
"oxylophus","ANOX1","La_Selva","dunk","yes",6.2,68,"M","sustained",132.525454545455,11,0.0834023728065,NA,360.625909090909,NA,NA,NA,2.54545454545455,0.0148496843238312,4.81818181818182,0.0479819059932004,7.27272727272727,0.0529365702788001,5.09090909090909,NA,52.2350909090909,0.395637709561413,14.6363636363636,4.04181370113262,10.9090909090909,0,0.0909090909090909,2.54545454545455,11
"oxylophus","ANOX2","La_Selva","dunk","yes",4.3,59,"F","sustained",198.4532,6.2,0.0520141941005553,NA,NA,NA,NA,NA,0.3,0.00143624146059314,3,0.0261086701976003,8.9,0.0598130080860831,7.1,0.0458460539416275,55.3569,0.477757952122509,7.5,8.48063106060606,6.1,0,0.1,0.3,10
"oxylophus","ANOX3","La_Selva","dunk","yes",3.5,56,"F","sustained",279.129833333333,11,0.0376639014948144,46.8899656862745,246.419833333333,329.836,97.2501666666667,0.213584208448883,0.5,0.00199750795707813,2.83333333333333,0.0109018907457868,7.33333333333333,0.0269671698770677,8.5,0.0319748460686603,155.203666666667,0.558324926857511,11.8333333333333,17.0842123015873,10.8333333333333,0.166666666666667,0,0.5,6
"oxylophus","ANOX4","La_Selva","dunk","yes",3.7,60,"M","incidental",213.43875,1.5,0.00763140677266946,NA,195.02575,NA,NA,NA,0.75,0.0042076208428706,1.75,0.00812010567382511,3,0.0119589936363499,0,0,174.0715,0.746362393710771,3.5,64.760075,1.25,0.25,0,0.75,4
"oxylophus","ANOX5","La_Selva","dunk","yes",3.6,54,"F","incidental",186.392714285714,0.571428571428571,0.00257856697236941,NA,NA,NA,NA,NA,0.142857142857143,0.00034992564080133,2.28571428571429,0.0150980302698098,8.28571428571429,0.0561696178990237,4,0.0208399067542246,169.820142857143,0.894486220739791,1.71428571428571,117.758392857143,0.571428571428571,0,0,0.142857142857143,7
"oxylophus","ANOX6","La_Selva","dunk","yes",7.8,68,"M","sustained",160.178142857143,6.42857142857143,0.0478066205099205,41.4226892857143,385.410571428571,485.808571428571,100.398,0.0638512493311246,0.142857142857143,0.000641357008813529,3,0.0218095140592745,3.85714285714286,0.0251927838576154,4,NA,95.9304285714286,0.699700951108641,6.85714285714286,32.5976965986395,5.14285714285714,0.428571428571429,0.857142857142857,0.142857142857143,7
"peraccae","BILS AD 02","Ecuador","dunk","yes",1.8,51.4,"M","no",19.252,0,0,NA,NA,NA,NA,NA,0,0,0,0,2,0.103885310617079,0,0,16.25,0.844068148763765,1,16.25,0,0,0,0,1
"gracilipes","BILS AHM 02","Ecuador","dunk","yes",2.7,58.68,"M","sustained",26.258,10,0.380836316551146,2.60266666666667,20.687,44.111,23.424,0.426912568306011,0,0,1,0.0380836316551146,0,0,0,0,7.05,0.268489603168558,10,0.705,0,4,6,0,1
"gracilipes","BILS AHM 03","Ecuador","dunk","yes",2.4,52.37,"F","incidental",23.247,1,0.0430163031789048,NA,40.357,NA,NA,NA,0,0,0,0,1,0.0430163031789048,0,0,19.763,0.850131199724696,1,19.763,0,1,0,0,1
"Echinosaura horrida","BILS AMR 02","Ecuador","dunk","yes",10.6,81.38,"F","incidental",83.826,3,0.0357884188676544,32.66,70.143,37.349,32.794,0.0914801488077087,8,0.0954357836470785,0,0,7,0.112323491655969,0,0,27.756,0.331114451363539,11,2.52327272727273,0,0,3,8,1
"peraccae","BILS AMR 03","Ecuador","dunk","yes",1.796,50.26,"M","no",70.032,0,0,NA,NA,NA,NA,NA,0,0,1,0.014279186657528,7,0.0999543066026959,7,0.0999543066026959,68.319,0.975539753255655,1,68.319,0,0,0,0,1
"gracilipes","BILS DLM 03","Ecuador","dunk","yes",2.2,52.87,"F","sustained",117.1015,17.5,0.126633976392326,6.0939,59.999,133.574,73.575,0.208531377898732,0,0,1.5,0.0126357660734678,9,0.0947906479086659,0,NA,82.5385,0.674855148227228,9.5,8.4799423076923,1,16.5,0,0,2
