species,habitat
oxylophus,aquatic
peraccae,non-aquatic
gracilipes,non-aquatic
Echinosaura horrida,aquatic
princeps,non-aquatic
lynchi,aquatic
chloris,non-aquatic
purpurescens,non-aquatic
maculigula,aquatic
aquaticus,aquatic
polylepis,non-aquatic
uniformis,non-aquatic
barkeri,aquatic
antonii,non-aquatic
ventrimaculatus,non-aquatic
sericeus,non-aquatic
frenatus,non-aquatic
duellmani,non-aquatic
danieli,non-aquatic
megalopithecus,non-aquatic
antioquiae,non-aquatic
reconditus,non-aquatic
opalinus,non-aquatic
sagrei,non-aquatic
valencienni,non-aquatic
lineatopus,non-aquatic
garmani,non-aquatic
Enyalioides oshaughnesseyi,non-aquatic
maculiventris,non-aquatic
fasciatus,non-aquatic
lyra,non-aquatic
Basilicus galeritus,aquatic
christophei,non-aquatic
eugenegrahami,aquatic
fowleri,non-aquatic
poecilopus,aquatic
