mass,nmol,src,indv,species,w_temp,mass2,sex,svl,est_lung_v,r,tempk,pres_conv,lung_conv,mol_rate,nmol_l,cham_upr_nmol,gecko_upr_nmol,tubin_lwr_nmol
7.7,175.054843,boccia,Boccia149,aquaticus,22.6,7.7,M,70,1.4784,8314.5,295.75,-0.003328845,0.0014784,-1.75E-07,-175.054843,1055.799522,281.7288879,175.054843
7.8,157.1526397,boccia,Boccia155,aquaticus,22.21,7.8,M,66,1.4976,8314.5,295.36,-0.002953999,0.0014976,-1.57E-07,-157.1526397,947.8268582,252.9175295,157.1526397
7.8,162.0616408,boccia,Boccia155,aquaticus,22.24,7.8,M,66,1.4976,8314.5,295.39,-0.003045964,0.0014976,-1.62E-07,-162.0616408,977.434271,260.8179531,162.0616408
6.2,122.9150328,boccia,Boccia161,aquaticus,22.57,6.2,M,65,1.1904,8314.5,295.72,-0.002903137,0.0011904,-1.23E-07,-122.9150328,741.3312916,197.8163809,122.9150328
6.2,161.0694894,boccia,Boccia161,aquaticus,22.6,6.2,M,65,1.1904,8314.5,295.75,-0.003803923,0.0011904,-1.61E-07,-161.0694894,971.4503579,259.2212095,161.0694894
6.2,104.5246422,boccia,Boccia161,aquaticus,22.61,6.2,M,65,1.1904,8314.5,295.76,-0.002468439,0.0011904,-1.05E-07,-104.5246422,630.4142484,168.2193461,104.5246422
10.2,158.3188063,boccia,Boccia166,aquaticus,22.73,10.2,M,74,1.9584,8314.5,295.88,-0.002271703,0.0019584,-1.58E-07,-158.3188063,954.8603003,254.7943288,158.3188063
10.2,240.6262177,boccia,Boccia166,aquaticus,22.99,10.2,M,74,1.9584,8314.5,296.14,-0.003449694,0.0019584,-2.41E-07,-240.6262177,1451.276876,387.2578192,240.6262177
10.2,199.2261865,boccia,Boccia166,aquaticus,23,10.2,M,74,1.9584,8314.5,296.15,-0.002856074,0.0019584,-1.99E-07,-199.2261865,1201.582938,320.6296439,199.2261865
5.7,154.4715519,boccia,Boccia167,aquaticus,22.96,5.7,M,64,1.0944,8314.5,296.11,-0.003963287,0.0010944,-1.54E-07,-154.4715519,931.6565476,248.6026539,154.4715519
5.7,154.355282,boccia,Boccia167,aquaticus,23.1,5.7,M,64,1.0944,8314.5,296.25,-0.003958432,0.0010944,-1.54E-07,-154.355282,930.9552948,248.415532,154.355282
6.9,148.0993408,boccia,Boccia263M,barkeri,25.39,6.9,M,75,1.3248,8314.5,298.54,-0.003113411,0.0013248,-1.48E-07,-148.0993408,893.2241489,238.3473765,148.0993408
17,357.0459469,boccia,Boccia268M,barkeri,25.54,17,M,99,3.264,8314.5,298.69,-0.003045015,0.003264,-3.57E-07,-357.0459469,2153.433367,574.6208208,357.0459469
