time,oxygen
1,172.909
2,184.017
3,178.983
4,172.431
5,182.006
6,168.67
7,168.748
8,171.949
9,165.996
10,172.154
11,175.573
12,166.933
13,169.6
14,168.621
15,172.388
16,171.682
17,172.803
18,177.524
19,170.631
20,167.025
21,167.89
22,180.554
23,174.49
24,177.377
25,174.933
26,169.723
27,179.579
28,177.326
29,173.813
30,169.797
31,165.452
32,175.362
33,167.728
34,180.724
35,170.567
36,168.771
37,163.184
38,168.108
39,171.462
40,173.309
41,178.547
42,171.991
43,176.934
44,176.935
45,176.135
46,171.842
47,179.656
48,173.059
49,169.529
50,167.241
51,185.451
52,174.555
53,179.943
54,171.684
55,185.545
56,173.88
57,177.724
58,167.356
59,162.971
60,165.77
61,173.199
62,179.009
63,175.11
64,168.252
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,169.474
82,
83,
84,
85,
86,
87,
88,171.168
89,167.935
90,164.591
91,171.599
92,
93,
94,
95,
96,171.371
97,172.27
98,169.934
99,
100,
101,163.936
102,168.861
103,169.039
104,
105,
106,
107,
108,
109,168.843
110,172.588
111,173.949
112,
113,
114,
115,
116,
117,
118,177.323
119,
120,170.86
121,
122,
123,166.515
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,162.462
134,170.748
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,182.979
147,
148,
149,
150,
151,
152,
153,166.79
154,
155,
156,
157,
158,
159,
160,
161,170.44
162,
163,165.186
164,
165,
166,
167,167.226
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,179.569
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,168.323
197,173.707
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,166.391
217,167.857
218,176.655
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,
233,177.753
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,173.729
250,
251,175.853
252,170.785
253,
254,
255,173.959
256,
257,
258,
259,
260,
261,
262,172.949
263,175.047
264,
265,
266,
267,
268,
269,173.401
270,
271,
272,
273,
274,178.745
275,
276,
277,
278,
279,
280,
281,168.445
282,
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,
298,
299,
300,173.405
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,170.436
326,165.503
327,
328,
329,
330,181.694
331,
332,171.698
333,
334,
335,
336,
337,168.211
338,
339,
340,
341,
342,
343,
344,
345,
346,
347,
348,
349,
350,
351,
352,
353,
354,
355,
356,
357,
358,166.481
359,
360,
361,166.774
362,169.774
363,171.425
364,166.92
365,172.715
366,168.394
367,168.877
368,168.054
369,175.538
370,167.077
371,175.865
372,180.766
373,176.87
374,162.21
375,166.056
376,178.126
377,172.876
378,163.811
379,174.792
380,170.233
381,180.122
382,168.111
383,173.36
384,173.61
385,177.564
386,175.053
387,171.618
388,174.196
389,171.834
390,175.653
391,180.705
392,
393,
394,
395,
396,
397,
398,
399,
400,
401,
402,
403,
404,
405,
406,
407,
408,
409,
410,
411,
412,
413,
414,
415,
416,
417,173.164
418,
419,
420,
421,
422,
423,
424,
425,172.736
426,
427,
428,
429,
430,175.124
431,
432,
433,
434,
435,
436,
437,
438,
439,
440,
441,
442,
443,
444,
445,
446,
447,
448,
449,
450,
451,
452,
453,
454,
455,
456,
457,
458,
459,
460,
461,
462,
463,
464,
465,
466,
467,179.654
468,
469,
470,
471,
472,
473,165.282
474,
475,
476,179.802
477,
478,
479,
480,
481,
482,
483,
484,
485,
486,
487,
488,
489,
490,
491,
