Time(s),Oxygen(hPa)
1,
2,182.648
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,157.935
16,
17,158.513
18,
19,160.094
20,
21,160.761
22,
23,
24,
25,
26,
27,159.13
28,158.943
29,
30,
31,160.073
32,
33,
34,
35,
36,143.248
37,155.245
38,
39,147.585
40,
41,
42,141.551
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,146.066
56,
57,
58,
59,
60,
61,
62,139.068
63,
64,
65,
66,
67,
68,
69,
70,
71,137.77
72,129.493
73,
74,
75,133.938
76,
77,
78,
79,
80,
81,
82,
83,
84,121.225
85,131.941
86,
87,
88,
89,
90,128.104
91,119.351
92,130.889
93,130.421
94,
95,
96,
97,
98,134.483
99,
100,
101,
102,
103,171.441
