Time (s),Oxygen(hPa),crit val
173,166.309,188
174,168.815,335
175,165.104,
176,166.341,
177,161.966,
178,170.411,
179,158.646,
180,160.167,
181,157.804,
182,161.434,
183,163.707,
184,163.399,
185,160.714,
186,166.309,
187,167.082,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,148.468,
199,148.98,
200,145.652,
201,151.03,
202,149.493,
203,148.421,
204,,
205,143.732,
206,149.162,
207,145.294,
208,146.511,
209,150.198,
210,146.606,
211,,
212,149.63,
213,143.128,
214,,
215,143.04,
216,,
217,145.431,
218,146.422,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,143.407,
228,,
229,,
230,,
231,,
232,,
233,129.509,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,124.668,
243,,
244,,
245,126.761,
246,,
247,128.356,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,125.546,
261,,
262,,
263,,
264,,
265,121.455,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,116.225,
275,,
276,120.071,
277,,
278,,
279,,
280,117.007,
281,,
282,112.536,
283,,
284,,
285,111.205,
286,108.007,
287,,
288,,
289,,
290,116.64,
291,115.201,
292,112.522,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,110.551,
301,,
302,,
303,,
304,,
305,109.345,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,107.899,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,106.306,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,162.809,
337,165.326,
338,161.395,
339,166.377,
340,165.791,
341,163.278,
342,162.002,
343,163.56,
344,159.292,
345,166.377,
346,166.226,
347,166.014,
348,166.669,
349,168.283,
350,165.733,
351,163.851,
352,159.782,
353,163.993,
354,164.137,
355,164.886,
356,162.126,
357,162.7,
358,165.279,
359,159.874,
360,161.405,
361,157.664,
362,165.732,
363,161.37,
364,160.281,
365,160.388,
366,166.123,
367,165.178,
368,167.429,
369,164.324,
370,164.459,
371,164.657,
372,167.23,
373,166.637,
374,160.699,
375,165.323,
376,161.641,
377,161.97,
378,165.7,
379,160.723,
380,155.302,
381,163.662,
382,159.233,
383,156.337,
384,164.19,
385,159.152,
386,153.395,
387,155.313,
388,157.132,
389,160.044,
390,162.274,
391,166.203,
392,153.907,
393,157.698,
394,158.863,
395,163.812,
396,156.05,
397,160.804,
398,159.306,
399,155.726,
400,163.488,
401,155.865,
402,158.779,
403,162.168,
404,161.175,
405,165.8,
406,155.901,
407,161.918,
408,156.712,
409,157.011,
410,162.226,
411,157.338,
412,167.228,
413,159.576,
414,159.31,
415,160.682,
416,156.614,
417,156.915,
418,159.573,
419,158.861,
420,158.013,
421,163.947,
422,156.218,
423,157.192,
424,160.991,
425,160.437,
426,164.864,
427,164.878,
428,158.442,
429,164.658,
430,165.287,
431,156.739,
432,154.17,
433,157.255,
