Time (s),Oxygen(hPa)
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,147.552
11,149.802
12,151.115
13,149.112
14,149.716
15,150.643
16,
17,
18,
19,
20,119.985
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,111.392
33,
34,113.222
35,113.974
36,111.344
37,
38,106.273
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,109.225
56,107.41
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,149.845
82,152.543
83,149.093
84,154.3
85,153.812
86,154.003
87,151.623
88,152.589
89,154.864
90,154.128
91,155.219
92,154.868
93,153.991
94,157.345
95,155.116
96,158.431
97,155.775
98,157.059
99,154.576
100,157.227
101,155.727
102,156.157
103,158.663
104,156.268
105,154.672
106,157.705
107,155.416
108,155.963
109,157.987
110,156.597
111,156.012
112,156.631
113,154.511
114,157.366
115,158.695
116,155.229
117,155.518
118,160.478
119,156.519
120,159.603
121,159.052
122,156.423
123,156.669
124,157.543
125,154.868
126,156.2
127,158.092
128,158.592
129,151.633
130,156.342
131,155.012
132,160.908
133,159.129
134,156.243
135,156.763
136,155.37
137,158.55
138,159.644
139,159.108
140,158.593
141,156.616
142,156.919
143,157.011
144,159.855
145,156.288
146,158.391
147,157.044
148,156.625
149,158.842
150,158.002
151,162.644
152,159.389
153,159.096
154,160.435
155,158.93
156,159.8
157,159.143
158,158.182
159,157.537
160,160.907
161,158.105
