Time (s),Oxygen(hPa)
1,248.619
2,224.762
3,232.652
4,229.261
5,233.518
6,230.394
7,251.205
8,229.099
9,246.445
10,235.071
11,226.731
12,229.449
13,240.807
14,246.571
15,233.595
16,227.031
17,224.488
18,235.209
19,238.515
20,246.212
21,238.619
22,242.901
23,240.901
24,224.096
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,197.178
61,
62,
63,195.343
64,
65,
66,
67,
68,
69,
70,140.361
71,179.112
72,
73,
74,
75,
76,
77,185.245
78,
79,173.169
80,
81,
82,
83,
84,
85,
86,157.548
87,176.517
88,
89,203.905
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,95.712
102,
103,161.618
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,149.23
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,147.272
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,204.024
175,221.537
176,192.283
177,218.493
178,220.667
179,224.626
180,226.487
