Time(s),Oxygen(hPa)
1,178.579
2,177.319
3,189.719
4,182.256
5,179.784
6,189.05
7,188.451
8,181.559
9,182.875
10,184.542
11,
12,
13,
14,
15,
16,
17,169.318
18,
19,170.352
20,
21,
22,161.572
23,
24,168.251
25,
26,
27,167.588
28,
29,173.985
30,
31,167.289
32,
33,
34,171.601
35,
36,
37,169.08
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,136.597
74,
75,128.01
76,
77,128.526
78,
79,132.416
80,131.323
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,172.231
92,168.728
93,178.306
94,169.464
95,177.229
96,165.233
97,178.065
98,187.211
