,Oxygen(hPa)
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,175.884
19,175.667
20,179.196
21,160.268
22,
23,
24,
25,
26,
27,
28,169.908
29,
30,
31,164.268
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,162.073
45,146.096
46,159.214
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,154.158
65,163.989
66,147.836
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,146.034
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,126.24
109,
110,
111,133.056
112,
113,
114,
115,136.673
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,120.768
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,122.145
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,116.702
232,
233,
234,
235,
236,
237,
238,
239,134.041
240,
241,
242,
243,188.19
244,190.498
