time,oxygen
1,196.353212
2,195.660223
3,196.713946
4,195.84059
5,194.834332
6,196.353212
7,197.663246
8,196.286761
9,195.394419
10,194.578021
11,196.201324
12,195.185573
13,196.713946
14,198.356235
15,196.97975
16,197.076452
17,198.194854
18,198.678997
19,197.708868
20,197.530344
21,
22,
23,
24,
25,
26,
27,
28,
29,196.921032
30,195.707688
31,196.713946
32,196.12538
33,196.732932
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,165.586399
47,
48,
49,
50,190.486538
51,
52,189.233462
53,189.76507
54,188.758812
55,188.493008
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,174.348438
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,197.604456
93,198.384714
94,197.065187
95,197.321498
96,196.277268
97,197.245554
98,198.678997
99,197.034936
100,197.862599
101,198.080938
102,198.677052
103,
104,
105,198.743496
106,197.547504
107,198.468228
108,196.607796
109,197.16961
110,197.710711
111,197.112652
112,197.862599
113,197.349977
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,179.968294
156,179.142403
157,179.674011
158,178.363977
159,178.895585
160,179.22784
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,161.143675
190,
191,
192,
193,
194,
195,
196,198.451165
197,198.87835
198,199.875115
199,198.422686
200,198.840378
201,198.80994
202,198.460658
203,198.413193
204,199.077703
205,198.356235
206,198.933336
207,198.859364
208,198.232826
209,198.555588
210,198.78342
211,198.242319
212,198.724512
213,197.701218
214,199.16314
215,198.555588
216,197.881585
217,198.166375
218,198.289784
219,197.748683
220,197.976515
221,197.634767
222,197.558823
223,197.425921
224,198.09804
225,197.81328
226,198.639084
227,197.710711
228,197.680392
229,197.471568
230,198.470151
231,197.748683
232,197.26454
233,198.02398
234,197.938543
235,198.090431
236,197.236061
237,198.014487
238,198.137896
239,198.802406
240,198.061952
241,197.786655
242,198.764434
243,198.375221
244,199.096689
245,199.388952
246,199.723227
247,199.533367
248,198.716969
249,198.090431
250,199.134661
251,198.033473
252,199.324521
253,198.4037
254,197.748683
255,198.887843
256,198.270798
257,198.21384
258,197.862599
259,199.371986
260,199.514381
261,197.967022
262,197.055694
263,199.704241
264,198.773927
265,197.881585
266,198.071445
267,199.087196
268,197.150624
269,198.87835
270,196.666481
271,198.925815
272,198.508123
273,197.758176
274,199.001759
275,198.451165
276,198.517616
