time,oxygen
1,182.69199
2,182.61607
3,182.59709
4,182.51168
5,182.61607
6,181.36339
7,182.065443
8,181.27798
9,182.65403
10,182.9672
11,183.49864
12,182.44525
13,181.94228
14,182.236245
15,183.31833
16,183.10955
17,182.596827
18,183.85926
19,183.08108
20,182.64454
21,183.70742
22,
23,
24,
25,176.36216
26,191.81188
27,192.65649
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,185.547906
50,185.490972
51,186.17482
52,185.11194
53,183.73589
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,182.76791
74,183.74538
75,183.73589
76,184.475649
77,184.09651
78,184.16294
79,185.33021
80,185.15939
81,184.580028
82,184.0111
83,185.263236
84,185.80471
85,185.17837
86,
87,
88,
89,184.11549
90,185.055
91,185.48205
92,185.58644
93,184.40968
94,185.73828
95,185.70981
96,185.35868
97,185.19735
98,185.40613
99,184.87469
100,185.33021
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,173.724612
114,171.997614
115,172.17707
116,172.16758
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,160.08681
127,
128,
129,
130,168.382305
131,167.29921
132,167.594718
133,166.873554
134,167.708586
135,166.427571
136,165.77132
137,166.190346
138,165.99908
139,166.03704
140,164.4617
141,164.842908
142,164.596194
143,162.964086
144,163.01922
145,162.91483
146,161.95634
147,162.01328
148,162.09869
149,162.07022
150,162.06073
151,162.13665
152,162.07971
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,145.02618
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,135.30842
211,
212,
213,
214,
215,135.4223
216,130.90506
217,129.74728
218,129.94657
219,130.35464
220,130.464261
221,130.81965
222,131.13282
223,
224,131.37007
225,131.47446
226,131.74018
227,131.90151
228,139.24677
229,
230,132.13876
231,131.915409
232,132.20519
233,132.43295
234,132.618264
235,132.65122
236,132.75561
237,132.93592
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,122.69621
271,
272,
273,115.65463
274,115.28452
275,
276,120.76974
277,120.37116
278,
279,125.62862
280,119.64043
281,
282,120.95005
283,120.09595
284,115.26554
285,
286,117.70447
287,116.059959
288,
289,187.89251
290,187.51291
291,186.86759
292,187.31362
293,187.360305
294,185.77624
295,187.96843
296,187.627579
297,187.72169
298,186.30768
299,185.87114
300,184.97908
301,184.978566
302,185.253747
303,184.49509
304,183.56507
305,183.356629
306,183.74538
307,183.03363
308,182.88179
309,182.56836
310,182.46423
311,182.28392
312,182.81536
313,182.331601
314,183.8213
315,182.65403
316,181.99922
317,182.577849
318,182.236245
319,180.76552
320,182.55913
321,182.62556
322,183.754485
323,184.37172
324,183.84067
325,183.40374
326,183.973544
327,183.07159
328,182.90077
329,182.73944
330,182.60658
331,183.50813
332,182.9672
333,184.12498
334,184.07753
335,182.85332
336,183.38476
337,184.172001
338,183.982221
339,183.65997
340,183.87824
341,184.50458
342,183.79283
343,183.77385
344,183.57456
345,183.7264
346,183.99171
347,182.17953
348,182.985876
349,183.252228
350,183.94467
351,183.546449
352,183.934776
353,183.98263
354,185.50103
355,184.45713
356,184.5805
357,184.75132
358,183.77385
359,182.71097
360,182.83434
361,182.909964
362,183.773463
363,184.27682
364,184.38121
365,185.99451
366,184.99806
367,184.22937
368,184.95061
369,184.21988
370,185.9091
371,186.42156
372,185.36817
373,186.26023
374,184.95061
375,186.953
376,185.35923
377,184.514531
378,184.0111
379,184.44764
380,184.56105
381,184.27682
382,185.33021
383,184.16294
384,183.65997
385,183.128845
386,184.58999
387,184.47611
388,184.61846
389,184.40019
390,184.85571
391,184.63744
392,184.56105
393,184.19141
394,184.19141
395,184.22937
396,184.447182
397,184.352292
398,184.13447
399,183.545727
400,184.38121
401,183.70742
402,183.26139
403,183.99171
404,183.336969
405,184.3907
406,183.64099
407,184.190979
408,184.28631
409,184.51407
410,187.13331
411,185.28276
412,184.932135
413,184.63744
414,185.35868
415,185.60542
416,185.09296
417,184.96959
418,186.22227
419,184.32427
420,185.710397
421,185.055
422,184.731852
423,183.9162
424,183.660341
425,184.361781
426,184.523094
427,183.96365
428,184.74183
429,185.055
430,185.69083
431,185.329659
432,183.71691
433,184.90316
434,184.314336
435,184.4856
436,184.64693
437,186.487317
438,185.51052
439,184.428204
440,185.40613
441,184.85571
442,184.894171
443,185.4346
444,184.59948
445,186.37411
446,186.61136
447,185.473122
448,184.27638
449,185.547906
450,185.42511
